IgG,Glycan,m/z,Monoisotopic Mass,Charge,RT,[M+H]+,Peptide Mass,Glycan Mass,peak_num
1,G0,830.0054,2486.9943,3,27.55,2488.0016,1188.5047,1299.4969,17
1,G0F,878.6832,2633.0277,3,26.85,2634.035,1188.5047,1445.5303,7
1,G0FN,946.3678,2836.0815,3,27.95,2837.0888,1188.5047,1648.5841,14
1,G1F,932.6988,2795.0745,3,26.55,2796.0818,1188.5047,1607.5771,4
1,G1F,932.7058,2795.0955,3,26.96,2796.1028,1188.5047,1607.5981,18
1,G1FN,1000.3946,2998.1619,3,27.75,2999.1692,1188.5047,1810.6645,13
1,G1FS1,1029.7458,3086.2155,3,28.75,3087.2228,1188.5047,1898.7181,21
1,G2F,986.7129,2957.1168,3,26.46,2958.1241,1188.5047,1769.6194,8
1,G2FN,1054.4152,3160.2237,3,27.55,3161.231,1188.5047,1972.7263,20
1,G2FS1,1083.7589,3248.2548,3,28.15,3249.2621,1188.5047,2060.7574,11
2,G0,819.3432,2455.0077,3,52.15,2456.015,1156.5149,1299.5001,35
2,G0F,868.0212,2601.0417,3,50.95,2602.049,1156.5149,1445.5341,1
2,G0FN,935.703,2804.0871,3,51.25,2805.0944,1156.5149,1648.5795,9
2,G1F,922.0331,2763.0774,3,50.15,2764.0847,1156.5149,1607.5698,3
2,G1F,922.031,2763.0711,3,50.75,2764.0784,1156.5149,1607.5635,5
2,G1FN,989.7264,2966.1573,3,50.55,2967.1646,1156.5149,1810.6497,12
2,G1FN,989.7217,2966.1432,3,50.95,2967.1505,1156.5149,1810.6356,27
2,G1FS1,1019.0768,3054.2085,3,53.65,3055.2158,1156.5149,1898.7009,10
2,G2F,976.0541,2925.1404000000002,3,49.85,2926.1477,1156.5149,1769.6328,2
2,G2FN,1043.7621,3128.2644,3,50.25,3129.2717,1156.5149,1972.7568,15
2,G2FS1,1073.0854,3216.2343,3,52.75,3217.2416,1156.5149,2060.7267,6
4,G0F,873.36,2617.0581,3,38.05,2618.0654,1172.5098,1445.5556,19
4,G0FN,941.0292,2820.0657,3,38.55,2821.073,1172.5098,1648.5632,33
4,G1F,927.3766,2779.1079,3,37.45,2780.1152,1172.5098,1607.6054,23
4,G1F,927.3892,2779.1457,3,37.15,2780.153,1172.5098,1607.6432,69
4,G1F,927.3757,2779.1052,3,37.95,2780.1125,1172.5098,1607.6027,43
4,G1FN,995.058,2982.1521,3,38.15,2983.1594,1172.5098,1810.6496,36
4,G2F,981.38,2941.1181,3,37.24,2942.1254,1172.5098,1769.6156,26
4,G2FN,1049.0927,3144.2562,3,37.85,3145.2635,1172.5098,1972.7537,81
4,G2FS1,1078.4419,3232.3038,3,39.55,3233.3111,1172.5098,2060.8013,24
