"","peak_num","m/z","charge","mass","[M+H]+","merged_rt","merged_mz"
"1",1,1221.8325,4,4883.3008,4884.3081,18.3875,1223
"2",3,1333.9684,3,3998.8833,3999.8906,16.6875,1335
"3",5,1347.4086,4,5385.6052,5386.6125,23.3125,1349
"4",12,1180.7626,4,4719.0212,4720.0285,18.2625,1181
"5",19,1203.8456,3,3608.5149,3609.5222,13.0875,1205
"6",20,1009.9792,4,4035.8876,4036.8949,19.5875,1011
"7",26,1320.9347,3,3959.7822,3960.7895,20.5625,1321
"8",23,1385.8938,4,5539.546,5540.5533,18.7375,1385
"9",292,1221.8687,3,3662.5842,3663.5915,9.9375,1223
"10",40,1179.6014,4,4714.3764,4715.3837,21.8375,1179
"11",39,1091.7508,5,5453.7175,5454.7248,22.0625,1093
"12",35,1028.8025,3,3083.3856,3084.3929,7.4625,1029
"13",142,1036.459,4,4141.8068,4142.8141,18.7375,1037
"14",66,891.4581,3,2671.3524,2672.3597,12.1125,893
"15",16,1270.8887,4,5079.5256,5080.5329,21.7625,1271
"16",130,1045.7969,4,4179.1584,4180.1657,21.4625,1047
"17",28,1117.0811,4,4464.2952,4465.3025,21.4375,1117
"18",125,1258.352,4,5029.3788,5030.3861,18.3375,1259
"19",98,1326.2433,3,3975.708,3976.7153,16.2625,1327
"20",8,1269.5496,3,3805.6269,3806.6342,16.5125,1271
"21",11,1366.556,3,4096.6461,4097.6534,17.0375,1367
"22",203,1172.5169,3,3514.5288,3515.5361,16.0125,1173
"23",499,937.2088,4,3744.806,3745.8133,18.9875,937
"24",73,1134.5156,4,4534.0332,4535.0405,16.4625,1135
"25",50,1185.275,4,4737.0708,4738.0781,16.4875,1187
"26",172,1112.5078,4,4446.002,4447.0093,15.9875,1113
